avg_val_loss,epoch,step,loss
4.299117088317871,0,36,
,1,36,6.073920249938965
4.039841175079346,1,73,
,2,73,4.355000972747803
3.945051908493042,2,110,
,3,110,4.28627347946167
3.9463913440704346,3,147,
,4,147,4.287145137786865
3.88505482673645,4,184,
,5,184,4.292417049407959
3.9827797412872314,5,221,
,6,221,4.274469375610352
3.9099795818328857,6,258,
,7,258,4.2641730308532715
3.926163673400879,7,295,
,8,295,4.265317440032959
3.9996790885925293,8,332,
,9,332,4.239555835723877
3.9541163444519043,9,369,
,10,369,4.232048511505127
3.8941946029663086,10,406,
,11,406,4.2217817306518555
4.0196309089660645,11,443,
,12,443,4.208821773529053
3.9287939071655273,12,480,
,13,480,4.176582336425781
3.9008543491363525,13,517,
,14,517,4.138043403625488
3.846705913543701,14,554,
,15,554,4.110186576843262
3.889981269836426,15,591,
,16,591,4.073594570159912
3.800041675567627,16,628,
,17,628,4.01071310043335
3.8206636905670166,17,665,
,18,665,3.967839479446411
3.79095458984375,18,702,
,19,702,3.9040136337280273
3.764353036880493,19,739,
,20,739,3.8606536388397217
3.7800235748291016,20,776,
,21,776,3.8082470893859863
3.816859245300293,21,813,
,22,813,3.7572476863861084
3.760565757751465,22,850,
,23,850,3.6896743774414062
3.759502410888672,23,887,
,24,887,3.649191379547119
3.7242207527160645,24,924,
,25,924,3.6258628368377686
3.8217954635620117,25,961,
,26,961,3.5643677711486816
3.8042757511138916,26,998,
,27,998,3.5102272033691406
3.742253303527832,27,1035,
,28,1035,3.4781737327575684
3.792612075805664,28,1072,
,29,1072,3.4249894618988037
3.8405253887176514,29,1109,
,30,1109,3.3837602138519287
