avg_val_loss,epoch,step,loss
2.5954887866973877,0,36,
,1,36,6.183981418609619
2.1992149353027344,1,73,
,2,73,5.707244873046875
1.9696683883666992,2,110,
,3,110,5.673446178436279
1.8355915546417236,3,147,
,4,147,5.541091442108154
1.739233136177063,4,184,
,5,184,5.591986179351807
1.653279185295105,5,221,
,6,221,5.475061416625977
1.5350897312164307,6,258,
,7,258,5.299594402313232
1.487375020980835,7,295,
,8,295,5.321952819824219
1.4505661725997925,8,332,
,9,332,5.221437931060791
1.3951865434646606,9,369,
,10,369,5.032698154449463
1.4168132543563843,10,406,
,11,406,4.9137797355651855
1.3110350370407104,11,443,
,12,443,4.735556602478027
1.3281902074813843,12,480,
,13,480,4.82535457611084
1.3091762065887451,13,517,
,14,517,4.742716312408447
1.3537371158599854,14,554,
,15,554,4.648285388946533
1.3302040100097656,15,591,
,16,591,4.128698825836182
1.3155397176742554,16,628,
,17,628,3.8043012619018555
1.2766492366790771,17,665,
,18,665,3.397705554962158
1.2612314224243164,18,702,
,19,702,3.22306489944458
1.3108525276184082,19,739,
,20,739,3.168381452560425
1.3112752437591553,20,776,
,21,776,3.356153726577759
1.2822155952453613,21,813,
,22,813,3.060316324234009
1.2657756805419922,22,850,
,23,850,2.867751359939575
1.3038638830184937,23,887,
,24,887,2.8595988750457764
1.3372584581375122,24,924,
,25,924,2.7012240886688232
1.3282217979431152,25,961,
,26,961,3.0017411708831787
1.3209341764450073,26,998,
,27,998,2.8143463134765625
