avg_val_loss,epoch,step,loss
5.816829681396484,0,36,
,1,36,6.284372806549072
5.44000244140625,1,73,
,2,73,5.926445007324219
5.1545729637146,2,110,
,3,110,5.884397029876709
4.780457019805908,3,147,
,4,147,5.807859897613525
4.3978471755981445,4,184,
,5,184,5.61498498916626
4.275158882141113,5,221,
,6,221,5.360992431640625
4.168820858001709,6,258,
,7,258,5.376015663146973
4.258042335510254,7,295,
,8,295,5.4430108070373535
3.8862762451171875,8,332,
,9,332,5.3204803466796875
4.169926643371582,9,369,
,10,369,4.9279866218566895
4.117181301116943,10,406,
,11,406,4.862864017486572
3.796630382537842,11,443,
,12,443,4.768953323364258
3.7757580280303955,12,480,
,13,480,4.958564281463623
3.831594467163086,13,517,
,14,517,4.7652997970581055
3.5836684703826904,14,554,
,15,554,4.662566661834717
3.518253803253174,15,591,
,16,591,4.400041580200195
3.5922045707702637,16,628,
,17,628,3.653132438659668
3.774019241333008,17,665,
,18,665,3.5729172229766846
3.816800832748413,18,702,
,19,702,3.180612802505493
3.918339490890503,19,739,
,20,739,3.120094060897827
3.5470504760742188,20,776,
,21,776,2.7778525352478027
3.9840407371520996,21,813,
,22,813,2.636427164077759
3.7085766792297363,22,850,
,23,850,2.8675777912139893
3.579913377761841,23,887,
,24,887,2.9547152519226074
