avg_val_loss,epoch,step,loss
2.5594024658203125,0,36,
,1,36,4.127732276916504
2.1588637828826904,1,73,
,2,73,2.7909903526306152
1.9713729619979858,2,110,
,3,110,2.3262932300567627
1.7497615814208984,3,147,
,4,147,1.9884957075119019
1.7134215831756592,4,184,
,5,184,1.70263671875
1.6167902946472168,5,221,
,6,221,1.4534002542495728
1.507850170135498,6,258,
,7,258,1.2272231578826904
1.52754545211792,7,295,
,8,295,1.0444790124893188
1.559151291847229,8,332,
,9,332,0.9069178104400635
1.5589540004730225,9,369,
,10,369,0.7979363799095154
1.5261757373809814,10,406,
,11,406,0.6986525654792786
1.4990880489349365,11,443,
,12,443,0.5895243287086487
1.5186322927474976,12,480,
,13,480,0.5095850825309753
1.5142807960510254,13,517,
,14,517,0.46458321809768677
1.6228904724121094,14,554,
,15,554,0.43167227506637573
1.5822731256484985,15,591,
,16,591,0.4229211211204529
1.5121726989746094,16,628,
,17,628,0.41675570607185364
1.5787243843078613,17,665,
,18,665,0.37274622917175293
1.562821626663208,18,702,
,19,702,0.3123689591884613
1.585416316986084,19,739,
,20,739,0.2232837975025177
