avg_val_loss,epoch,step,loss
2.6600770950317383,0,36,
,1,36,6.184936046600342
2.324183464050293,1,73,
,2,73,5.60062837600708
2.062636375427246,2,110,
,3,110,5.6430230140686035
1.9155645370483398,3,147,
,4,147,5.593861103057861
1.8184080123901367,4,184,
,5,184,5.511998653411865
1.6269469261169434,5,221,
,6,221,5.315083026885986
1.5254284143447876,6,258,
,7,258,5.200962543487549
1.4803025722503662,7,295,
,8,295,5.10923957824707
1.3783535957336426,8,332,
,9,332,4.931762218475342
1.378617763519287,9,369,
,10,369,4.807764053344727
1.2857168912887573,10,406,
,11,406,4.561661243438721
1.3207082748413086,11,443,
,12,443,4.5533366203308105
1.3183708190917969,12,480,
,13,480,4.555682182312012
1.3208363056182861,13,517,
,14,517,4.596207141876221
1.2590105533599854,14,554,
,15,554,4.541125774383545
1.255059003829956,15,591,
,16,591,4.146902084350586
1.253272533416748,16,628,
,17,628,3.7193703651428223
1.222057819366455,17,665,
,18,665,3.0574605464935303
1.2115548849105835,18,702,
,19,702,2.722182035446167
1.213468074798584,19,739,
,20,739,2.2416131496429443
1.2199971675872803,20,776,
,21,776,2.15561842918396
1.192734718322754,21,813,
,22,813,2.0521607398986816
1.222090244293213,22,850,
,23,850,1.996422290802002
1.2881207466125488,23,887,
,24,887,1.993395447731018
1.217713713645935,24,924,
,25,924,1.841105580329895
1.255403995513916,25,961,
,26,961,1.6554930210113525
1.213895559310913,26,998,
,27,998,1.8081305027008057
1.1705988645553589,27,1035,
,28,1035,1.5642457008361816
1.2306426763534546,28,1072,
,29,1072,1.6816794872283936
1.220853567123413,29,1109,
,30,1109,1.9439697265625
1.1973506212234497,30,1146,
,31,1146,1.7800965309143066
1.1875020265579224,31,1183,
,32,1183,1.7743151187896729
1.180065631866455,32,1220,
,33,1220,1.6548250913619995
1.258758306503296,33,1257,
,34,1257,1.569191575050354
1.1874537467956543,34,1294,
,35,1294,1.4904524087905884
1.225548267364502,35,1331,
,36,1331,1.4340782165527344
