avg_val_loss,epoch,step,loss
3.7220120429992676,0,36,
,1,36,4.916417121887207
3.6331074237823486,1,73,
,2,73,3.9742367267608643
3.5531539916992188,2,110,
,3,110,3.590893030166626
3.510114908218384,3,147,
,4,147,3.2606399059295654
3.4875824451446533,4,184,
,5,184,2.984923839569092
3.4900810718536377,5,221,
,6,221,2.729447603225708
3.4858238697052,6,258,
,7,258,2.538851499557495
3.489719867706299,7,295,
,8,295,2.375394821166992
3.496372938156128,8,332,
,9,332,2.240527868270874
3.5314464569091797,9,369,
,10,369,2.127861738204956
3.526737689971924,10,406,
,11,406,2.050997495651245
3.537977695465088,11,443,
,12,443,1.9800928831100464
3.5500340461730957,12,480,
,13,480,1.9426336288452148
3.5548439025878906,13,517,
,14,517,1.8999862670898438
3.5903899669647217,14,554,
,15,554,1.87307870388031
3.5448379516601562,15,591,
,16,591,1.8420966863632202
3.599973201751709,16,628,
,17,628,1.8238977193832397
3.603597640991211,17,665,
,18,665,1.821295142173767
3.651458263397217,18,702,
,19,702,1.7935242652893066
3.7176756858825684,19,739,
,20,739,1.783148169517517
3.6532487869262695,20,776,
,21,776,1.771620273590088
3.7632477283477783,21,813,
,22,813,1.7685450315475464
3.6604232788085938,22,850,
,23,850,1.7608542442321777
3.745849609375,23,887,
,24,887,1.760351538658142
3.6940808296203613,24,924,
,25,924,1.745954990386963
3.730525255203247,25,961,
,26,961,1.735055923461914
3.688321113586426,26,998,
,27,998,1.7333890199661255
3.707162857055664,27,1035,
,28,1035,1.733696699142456
3.709689140319824,28,1072,
,29,1072,1.7227795124053955
3.8186349868774414,29,1109,
,30,1109,1.7232807874679565
3.7227768898010254,30,1146,
,31,1146,1.7172759771347046
3.8051388263702393,31,1183,
,32,1183,1.7169772386550903
3.7697386741638184,32,1220,
,33,1220,1.7121154069900513
3.8663229942321777,33,1257,
,34,1257,1.702185034751892
3.8424220085144043,34,1294,
,35,1294,1.6998724937438965
3.8175346851348877,35,1331,
,36,1331,1.7049342393875122
3.8036108016967773,36,1368,
,37,1368,1.6985962390899658
3.815460681915283,37,1405,
,38,1405,1.6858875751495361
3.741039276123047,38,1442,
,39,1442,1.6909661293029785
3.8180627822875977,39,1479,
,40,1479,1.6939804553985596
3.9154560565948486,40,1516,
,41,1516,1.6965020895004272
3.9263546466827393,41,1553,
,42,1553,1.6798769235610962
3.8371682167053223,42,1590,
,43,1590,1.6873724460601807
3.8764023780822754,43,1627,
,44,1627,1.6699349880218506
3.8591833114624023,44,1664,
,45,1664,1.6779861450195312
3.8642663955688477,45,1701,
,46,1701,1.6820412874221802
3.8747003078460693,46,1738,
,47,1738,1.6716519594192505
3.8411660194396973,47,1775,
,48,1775,1.6704833507537842
3.875683069229126,48,1812,
,49,1812,1.6685526371002197
3.8684821128845215,49,1849,
,50,1849,1.6729429960250854
3.897907257080078,50,1886,
,51,1886,1.6770190000534058
3.933419704437256,51,1923,
,52,1923,1.6578919887542725
3.834324359893799,52,1960,
,53,1960,1.6635322570800781
3.8986010551452637,53,1997,
,54,1997,1.6673197746276855
3.99174165725708,54,2034,
,55,2034,1.6616319417953491
3.9437856674194336,55,2071,
,56,2071,1.6614874601364136
4.0230607986450195,56,2108,
,57,2108,1.6555155515670776
3.9046733379364014,57,2145,
,58,2145,1.6666650772094727
4.016902923583984,58,2182,
,59,2182,1.6630905866622925
3.994892120361328,59,2219,
,60,2219,1.6517101526260376
3.993180274963379,60,2256,
,61,2256,1.6596605777740479
3.960007429122925,61,2293,
,62,2293,1.6583079099655151
4.010512351989746,62,2330,
,63,2330,1.6528749465942383
3.9483702182769775,63,2367,
,64,2367,1.646977186203003
3.922710657119751,64,2404,
,65,2404,1.647134780883789
3.961627960205078,65,2441,
,66,2441,1.6526014804840088
4.004247665405273,66,2478,
,67,2478,1.6478581428527832
4.054764747619629,67,2515,
,68,2515,1.6346029043197632
4.027859687805176,68,2552,
,69,2552,1.6425061225891113
4.084395885467529,69,2589,
,70,2589,1.652640700340271
4.009529113769531,70,2626,
,71,2626,1.6580475568771362
3.995469570159912,71,2663,
,72,2663,1.6384878158569336
4.11327600479126,72,2700,
,73,2700,1.6475653648376465
4.04581356048584,73,2737,
,74,2737,1.641055941581726
4.057123184204102,74,2774,
,75,2774,1.6341993808746338
4.034550666809082,75,2811,
,76,2811,1.636736273765564
4.031661033630371,76,2848,
,77,2848,1.63224458694458
4.001307010650635,77,2885,
,78,2885,1.6330097913742065
3.9752750396728516,78,2922,
,79,2922,1.64512038230896
4.0127387046813965,79,2959,
,80,2959,1.6399345397949219
4.00703763961792,80,2996,
,81,2996,1.635826826095581
4.048145294189453,81,3033,
,82,3033,1.6391041278839111
4.077502250671387,82,3070,
,83,3070,1.6324368715286255
3.985581636428833,83,3107,
,84,3107,1.63027822971344
3.9970295429229736,84,3144,
,85,3144,1.6325691938400269
4.0438127517700195,85,3181,
,86,3181,1.6329622268676758
4.023653030395508,86,3218,
,87,3218,1.6307573318481445
4.0571699142456055,87,3255,
,88,3255,1.6324456930160522
4.065358638763428,88,3292,
,89,3292,1.6306360960006714
4.024716377258301,89,3329,
,90,3329,1.6323760747909546
4.040623664855957,90,3366,
,91,3366,1.635298490524292
4.090763092041016,91,3403,
,92,3403,1.6211645603179932
4.029720306396484,92,3440,
,93,3440,1.628504991531372
3.990370988845825,93,3477,
,94,3477,1.6252684593200684
4.043634414672852,94,3514,
,95,3514,1.6305509805679321
4.127587795257568,95,3551,
,96,3551,1.6345458030700684
4.027641296386719,96,3588,
,97,3588,1.6315711736679077
4.034319877624512,97,3625,
,98,3625,1.6231940984725952
4.044643402099609,98,3662,
,99,3662,1.6251888275146484
4.036116600036621,99,3699,
,100,3699,1.6249518394470215
